Player,FantPt,Cmp,Att,Tgt,Rt,Ret,Touch,Game_day_of_week,Game_num,Week_num,Date,Age,Team,,Opp,Result,PassingCmp,PassingAtt,PassingInc,PassingCmp%,PassingYds,PassingTD,PassingInt,PassingPick6,PassingTD%,PassingInt%,PassingRate,PassingSk,PassingYds2,PassingSk%,PassingY/A,PassingAY/A,PassingANY/A,PassingY/C,Touch2,TotOff,YScm,APYd,RtY,FantasyFantPt,FantasyPPR,FantasyDKPt,FantasyFDPt,RushingAtt,RushingYds,RushingY/A,RushingTD,Rushing1D,Kick ReturnsRt,Kick ReturnsYds,Kick ReturnsY/Rt,Kick ReturnsKRTD,ReceivingTgt,ReceivingRec,ReceivingYds,ReceivingY/R,ReceivingTD,ReceivingCtch%,ReceivingY/Tgt,Receiving1D,Punt ReturnsRet,Punt ReturnsYds,Punt ReturnsY/R,Punt ReturnsPRTD,Pos.,Draft
Zay Jones,28.90,0,0,8,0,0,6,Sun,14,15,2022-12-18,27-263,JAX,,DAL,W 40-34 (OT),0,0,0,,0,0,0,,,,,0,0,,,,,,6,0,109,109,0,28.90,34.90,37.9,31.9,0,0,,0,0,0,0,,0,8,6,109,18.2,3,75.0,13.6,5,0,0,,0,WR,2-37
Daniel Jones,28.78,19,11,0,0,0,11,Sun,7,7,2022-10-23,25-149,NYG,@,JAX,W 23-17,19,30,11,63.3,202,1,0,,3.3,0.0,94.0,1,2,3.23,6.7,7.40,7.10,10.6,11,307,107,107,0,28.78,28.78,31.8,28.8,11,107,9.7,1,7,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-6
Justin Herbert,28.76,35,4,0,0,0,4,Sun,11,12,2022-11-27,24-262,LAC,@,ARI,W 25-24,35,47,12,74.5,274,3,0,,6.4,0.0,109.7,4,28,7.84,5.8,7.11,6.00,7.8,4,284,38,38,0,28.76,28.76,28.8,28.8,4,38,9.5,0,3,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-6
Kenneth Walker III,28.70,0,23,0,0,0,23,Sun,7,7,2022-10-23,22-003,SEA,@,LAC,W 37-23,0,0,0,,0,0,0,,,,,0,0,,,,,,23,167,167,167,0,28.70,28.70,31.7,28.7,23,167,7.3,2,7,0,0,,0,0,0,0,,0,,,0,0,0,,0,RB,2-41
Christian Watson,28.70,0,0,8,0,0,4,Sun,10,10,2022-11-13,23-185,GNB,,DAL,W 31-28 (OT),0,0,0,,0,0,0,,,,,0,0,,,,,,4,0,107,107,0,28.70,32.70,35.7,30.7,0,0,,0,0,0,0,,0,8,4,107,26.8,3,50.0,13.4,4,0,0,,0,WR,2-34
Jalen Hurts,28.40,19,2,0,0,0,2,Sun,7,8,2022-10-30,24-084,PHI,,PIT,W 35-13,19,28,9,67.9,285,4,0,,14.3,0.0,140.6,3,18,9.68,10.2,13.04,11.19,15.0,2,277,10,10,0,28.40,28.40,28.4,28.4,2,10,5.0,0,0,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,2-53
Evan Engram,28.20,0,0,15,0,0,11,Sun,13,14,2022-12-11,28-100,JAX,@,TEN,W 36-22,0,0,0,,0,0,0,,,,,0,0,,,,,,11,0,162,162,0,28.20,39.20,42.2,33.7,0,0,,0,0,0,0,,0,15,11,162,14.7,2,73.3,10.8,8,0,0,,0,TE,1-23
Austin Ekeler,28.10,0,10,4,0,0,14,Sun,16,17,2023-01-01,27-229,LAC,,LAR,W 31-10,0,0,0,,0,0,0,,,,,0,0,,,,,,14,122,161,161,0,28.10,32.10,35.1,30.1,10,122,12.2,2,5,0,0,,0,4,4,39,9.8,0,100.0,9.8,2,0,0,,0,RB,
Miles Sanders,28.00,0,21,3,0,0,24,Sun,11,12,2022-11-27,25-210,PHI,,GNB,W 40-33,0,0,0,,0,0,0,,,,,0,0,,,,,,24,143,160,160,0,28.00,31.00,34.0,29.5,21,143,6.8,2,7,0,0,,0,3,3,17,5.7,0,100.0,5.7,0,0,0,,0,RB,2-53
Dak Prescott,27.98,27,6,0,0,0,6,Sat,15,16,2022-12-24,29-148,DAL,,PHI,W 40-34,27,35,8,77.1,347,3,1,1,8.6,2.9,124.3,6,43,14.63,9.9,10.34,7.78,12.9,6,345,41,41,0,27.98,27.98,32.0,29.0,6,41,6.8,0,3,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,4-135
